"공공체육시설별","자치구별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"하키장","기타(서울외)","개소","개소","","","","","","","","","","","0","-","-","-",
"하키장","기타(서울외)","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","합계","개소","개소","12","12","12","12","13","15","16","17","19","19","20","22","22","23",
"야구장","합계","면적","㎡","246777","226190","226190","221071","280063","296865","259495","286195","299994","299994","309294","283819","283819","335191",
"야구장","종로구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","종로구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","중구","개소","개소","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"야구장","중구","면적","㎡","6004","6004","6004","6004","6004","6004","6004","6004","6004","6004","6004","6004","6004","6004",
"야구장","용산구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","용산구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","성동구","개소","개소","","","","","","1","1","1","1","1","1","1","1","1",
"야구장","성동구","면적","㎡","","","","","","7002","7002","7002","7002","7002","7002","7002","7002","7002",
"야구장","광진구","개소","개소","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"야구장","광진구","면적","㎡","49270","29036","29036","29036","29036","29036","29036","29036","29036","29036","29036","29036","29036","29036",
"야구장","동대문구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","동대문구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","중랑구","개소","개소","","","","","","","1","1","1","1","1","1","1","1",
"야구장","중랑구","면적","㎡","","","","","","","5194","5194","5194","5194","5194","5194","5194","5194",
"야구장","성북구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","성북구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","강북구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","강북구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","도봉구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","도봉구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","노원구","개소","개소","1","1","1","1","1","2","2","2","2","2","2","3","3","3",
"야구장","노원구","면적","㎡","5400","5400","5400","5400","5400","15200","15200","15200","15200","15200","15200","23682","23682","23682",
"야구장","은평구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","은평구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","서대문구","개소","개소","","","","","","","","","","","0","-","-","-",
"야구장","서대문구","면적","㎡","","","","","","","","","","","0","-","-","-",
"야구장","마포구","개소","개소","2","2","2","2","2","2","2","2","2","2","2","2","2","2",
